182457.31069, 3,   0.027,  1.106,  8.419, 4,  -0.034, -0.064,  0.169
182457.33083, 3,   0.022, -0.568, 10.685
182457.35100, 3,   0.088,  0.253,  8.960
182457.37121, 3,   0.443, -0.342, 10.289
182457.39135, 3,   0.053,  0.497,  8.735, 4,   0.024, -0.121,  0.287, 5,  18.878,  8.330,-23.468, 81, 291.648,  0.562,  0.720, 82,  -0.137,  0.125, -0.288, 83,   0.123, -0.096,  9.805, 84,  -0.004, -0.014,  0.562
182457.41152, 3,  -0.119, -0.778, 10.537
182457.43166, 3,   0.021,  0.371,  8.927
182457.45186, 3,   0.359, -0.414, 10.250
182457.47201, 3,   0.820,  0.466,  9.158, 4,  -0.045, -0.161,  0.281, 5,  17.540,  7.782,-23.405, 81, 290.497,  0.560,  2.060, 82,   0.274,  0.024,  0.121, 83,   0.352, -0.096,  9.800, 84,   0.006, -0.018,  0.570
182457.49218, 3,   0.694, -0.264, 10.197
182457.51235, 3,   0.946,  0.630,  9.318
182457.53252, 3,   1.227,  0.511,  9.990, 4,  -0.016, -0.052, -0.236, 5,  17.958,  6.812,-23.686, 81, 291.319, -0.617,  3.737, 82,   0.641,  0.601, -0.126, 83,   0.639,  0.105,  9.785, 84,   0.023, -0.024,  0.564
182457.55269, 3,   1.652,  0.975,  9.422
182457.57287, 3,   1.867,  0.832, 10.203
182457.59304, 3,   1.724,  1.472,  9.392
182457.61321, 3,   1.866,  0.676, 10.141, 4,   0.051,  0.013, -0.428, 5,  15.387,  8.412,-23.683, 81, 292.718, -1.762,  5.200, 82,   0.932,  0.694,  0.169, 83,   0.889,  0.300,  9.762, 84,   0.038, -0.029,  0.554
182457.63335, 3,   1.278,  1.208,  9.477
182457.65352, 3,   1.364,  1.083,  9.989
182457.67370, 3,   1.467,  2.283,  9.072
182457.69387, 3,  -0.336,  1.177, 10.482, 4,   0.022, -0.038, -0.066, 5,  16.154,  9.492,-22.809, 81, 295.319, -3.186,  5.585, 82,   0.419,  0.984, -0.192, 83,   0.954,  0.542,  9.745, 84,   0.050, -0.026,  0.535
182457.71407, 3,   0.403,  2.086,  9.464
182457.73421, 3,   2.533,  2.777,  9.673
182457.75435, 3,   1.127,  2.720,  9.728, 4,   0.010, -0.017,  0.088, 5,  14.610,  9.064,-21.707, 81, 298.078, -6.111,  6.040, 82,   0.423,  1.891, -0.235, 83,   1.032,  1.038,  9.697, 84,   0.059, -0.021,  0.524
182457.77453, 3,   1.732,  2.954,  9.119
182457.79470, 3,   1.502,  3.112,  9.522
182457.81490, 1,  51.451000,  -2.593795,  58.2, 3,   1.527,  3.387,  9.215, 4,  -0.010,  0.028,  0.020, 5,  15.189,  9.346,-21.027, 6,  3978869.195, -180247.617, 4965012.425, 7,  0.000, 0.000, 0.000, 8, 1548593913000, 83,   1.145,  1.202,  9.665, 84,   0.073, -0.018,  0.515
182457.83504, 3,   2.213,  1.930,  9.639
182457.85521, 3,   3.115,  2.559,  9.564
182457.87539, 3,   2.880,  1.831, 11.052
182457.89556, 3,   1.309,  3.941,  9.162, 4,  -0.025,  0.146,  0.002, 5,  14.806,  8.986,-21.021, 81, 299.134, -7.266,  6.659, 82,   0.800,  0.618,  0.552, 83,   1.137,  1.232,  9.662, 84,   0.084, -0.018,  0.508
182457.91570, 3,   1.653, -0.192, 10.679
182457.93587, 3,   0.932,  3.689,  7.386
182457.95607, 3,   0.701,  2.180, 10.519, 4,  -0.060,  0.186,  0.043, 5,  17.902,  7.310,-21.053, 81, 299.889, -8.568,  5.891, 82,  -0.203,  1.442, -1.210, 83,   1.007,  1.453,  9.646, 84,   0.090, -0.007,  0.502
182457.97625, 3,   0.774,  2.809,  7.353
182457.99639, 3,   0.584, -0.114, 11.054
182458.01656, 3,   1.261,  4.468,  8.992
182458.03670, 3,   0.879, -2.184, 12.222, 4,  -0.119,  0.223, -0.075, 5,  18.219,  6.447,-21.219, 81, 300.206, -8.097,  3.235, 82,  -2.679,  0.036, -0.427, 83,   0.553,  1.379,  9.693, 84,   0.075,  0.011,  0.499
182458.05687, 3,  -0.999,  4.912,  8.165
182458.07705, 3,  -3.030,  1.238,  8.894
182458.09722, 3,  -2.345, -1.896, 10.792
182458.11739, 3,  -2.645,  4.513,  8.764, 4,   0.191, -0.010, -0.497, 5,  19.031,  6.248,-20.480, 81, 302.329, -8.347,  2.086
182458.13756, 3,  -3.630, -1.219, 11.595
182458.15774, 3,   0.599,  2.073,  8.010
182458.17794, 3,   2.306,  2.957,  9.325
182458.19808, 3,   3.220,  1.446, 10.951, 4,  -0.012, -0.110, -0.227, 5,  19.139,  6.047,-23.862, 81, 302.398, -9.100,  3.470, 82,   2.520,  1.182, -0.334, 83,   0.594,  1.548,  9.665, 84,   0.084,  0.012,  0.482
182458.21825, 3,   3.812,  3.786,  7.701
182458.23839, 3,   3.271,  0.011, 13.010
182458.25860, 3,  -0.960,  3.369,  8.857, 4,  -0.061, -0.043,  0.604, 5,  19.189,  6.320,-24.557, 81, 299.304, -7.865,  3.918, 82,   0.171, -0.521,  0.969, 83,   0.670,  1.339,  9.692, 84,   0.076,  0.005,  0.506
182458.27874, 3,   0.222, -0.903, 10.276
182458.29891, 3,  -0.458,  5.023,  6.855
182458.31911, 3,  -1.567, -4.990, 12.587
182458.33925, 3,  -0.930,  9.581,  6.856, 4,   0.129,  0.013,  1.111, 5,  18.182,  4.636,-21.388, 81, 295.834, -9.328,  4.062, 82,  -1.680,  1.618, -0.893, 83,   0.695,  1.586,  9.653, 84,   0.088,  0.013,  0.532
182458.35943, 3,   0.785, -2.521, 10.501
182458.37957, 3,  -2.318,  2.853, 11.569
182458.39974, 3,  -1.768,  5.943,  6.787
182458.41991, 3,  -0.354, -2.353, 13.324, 4,  -0.156,  0.083,  0.749, 5,  18.179,  3.131,-20.831, 81, 292.397, -7.904,  3.942, 82,   0.235,  1.230,  0.394, 83,   0.674,  1.345,  9.690, 84,   0.076,  0.010,  0.557
182458.44011, 3,   1.677,  6.889,  8.591
182458.46026, 3,   1.408,  3.630,  8.377
182458.48043, 3,  -1.178,  2.565, 10.589, 4,   0.042,  0.265,  0.119, 5,  19.241,  2.515,-20.882, 81, 290.754, -9.120,  2.891, 82,  -0.336,  1.884, -0.127, 83,   0.495,  1.552,  9.670, 84,   0.080,  0.024,  0.568
182458.50060, 3,  -0.194,  3.570,  8.227
182458.52077, 3,   1.853,  4.196,  9.936
182458.54094, 3,   3.573, -0.887, 10.282
